Key,GetIt citation,# links: common,# links: Ariadne only,# links: GetIt only,# links: Ariadne total,# links: GetIt total,# links: All Total,% total: Ariadne,% total: GetIt,ARIADNE: BACKEND_API_FETCH_ERROR_FAILED_TO_FETCH,ARIADNE: HTTP_400_BAD_REQUEST,GETIT: PAGE_NOT_FOUND,GETIT: PROBABLE_HTTP_400_BAD_REQUEST,GETIT: SORRY_SOMETHING_HAS_GONE_WRONG
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=The impact of advertising on social processes&jtitle=Mind & Society=&title=Mind & Society=&issn=1860-1839(ELECTRONIC),15937879(PRINT)&date=2021&aulast=Pavlovskaya&aufirst=Olga&au=Pavlovskaya,Olga&genre=article","Article | The impact of advertising on social processes | Pavlovskaya,Olga 2021 | Published in Journal Mind  | ISSN:0026-4423",2,1,3,3,5,8,38,63,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=213-231&atitle=Between horror and boredom: Fairy tales and moral education&jtitle=Ethics and Education&title=Ethics and Education&issn=1744-9650(ELECTRONIC),17449642(PRINT)&volume=15&issue=2&date=2020&aulast=Lewin&aufirst=David&au=Lewin,David&genre=article","Article | Between horror and boredom Fairy tales and moral education | Lewin,David 2020 | Published in Journal Ethics and Education Volume 15 Issue 2 Page 213 231. | ISSN:1744-9642",2,0,0,2,2,4,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=28-34&atitle=EMDR Group Therapy With Women Who Were Sexually Assaulted in the Congo&jtitle=Journal of EMDR Practice & Research=&title=Journal of EMDR Practice & Research=&issn=1933-3196&volume=9&issue=1&date=2015&aulast=Alton&aufirst=Michel&au=Alton,Michel&genre=article","Article | EMDR Group Therapy With Women Who Were Sexually Assaulted in the Congo | Alton,Michel 2015 | Published in Journal Journal of EMDR Practice Volume 9 Issue 1 Page 28 34. | ISSN:1933-3196",1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=49-53&atitle=Distinctly regulated functions and mobilization of CD11c-positive cells elicited by TLR3- and IPS-1 signaling in the cornea&jtitle=Immunology letters&title=Immunology letters&issn=0165-2478&volume=206&date=2019&aulast=Ueta&aufirst=Mayumi&au=Ueta,Mayumi&genre=article","Article | Distinctly regulated functions and mobilization of CD11c-positive cells elicited by TLR3 and IPS-1 signaling in the cornea | Ueta,Mayumi 2019 | Published in Journal Immunology letters Volume 206 Page 49 53. | ISSN:0165-2478",1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&pages=635-640&atitle=Mediterranean Way of Drinking and Longevity&jtitle=Critical reviews in food science and nutrition&title=Critical reviews in food science and nutrition&volume=56&issue=4&date=2016&aulast=Giacosa&aufirst=Attilio&au=Giacosa,Attilio&genre=article","Article | Mediterranean Way of Drinking and Longevity | Giacosa,Attilio 2016 | Published in Journal Critical reviews in food science and nutrition Volume 56 Issue 4 Page 635 640. | ISSN:1040-8398",1,0,0,1,1,2,50,50,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&title=Addressing Racial Disproportionality and Disparities in Human Services : Multisystemic Approaches&isbn=9780231537070&date=2014&aulast=Dettlaff&aufirst=Alan&au=Dettlaff,Alan","Book | Addressing racial disproportionality and disparities in human services multisystemic approaches | Dettlaff,Alan 2014 |  | Publisher:Columbia University Press ISBN:9780231537070",0,0,3,0,3,3,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&title=Attachment across the life cycle&isbn=0203132475&date=1993&aulast=Marris&aufirst=Peter&au=Marris,Peter","Book | Attachment across the life cycle | Marris,Peter 1993 |  | Publisher:Routledge ISBN:0203132475",0,0,3,0,3,3,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&title=Slavery, Childhood, and Abolition in Jamaica, 1788-1838&isbn=9780820348032&date=2015&aulast=Vasconcellos&aufirst=Colleen&au=Vasconcellos,Colleen A.",Book | Slavery childhood and abolition in Jamaica 1788-1838 | Vasconcellos Colleen A 2015 |  | Publisher:The University of Georgia Press ISBN:9780820348032,0,0,5,0,5,5,0,100,0,0,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&title=What Do Dreams Do?&isbn=9780192550897&date=2020&aulast=Llewellyn&aufirst=Sue&au=Llewellyn,Sue",Book | What do dreams do? | Llewellyn Sue 2020 |  | Publisher:Oxford University Press Incorporated ISBN:9780192550897,0,0,1,0,1,1,0,100,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&url_ver=Z39.88-2004&rfr_id=info:sid/Elsevier:SD&svc_val_fmt=info:ofi/fmt:kev:mtx:sch_svc&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.aulast=BARANIUK&rft.auinit=C&rft.date=2020&rft.issn=02624079&rft.volume=248&rft.issue=3309&rft.spage=46&rft.epage=50&rft.title=New Scientist&rft.atitle=AI gets emotional&rft_id=info:doi/10.1016/S0262-4079(20)32050-9,Article | AI gets emotional | BARANIUK 2020 | Published in Journal New Scientist Volume 248 Issue 3309 Page 46 50. | ISSN:0262-4079,3,1,0,4,3,7,57,43,0,0,0,0,0
getit.library.nyu.edu/resolve??ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&url_ver=Z39.88-2004&rfr_id=info:sid/Elsevier:SD&svc_val_fmt=info:ofi/fmt:kev:mtx:sch_svc&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.aulast=IYER&rft.auinit=A&rft.date=2021&rft.issn=10983600&rft.volume=23&rft.issue=11&rft.spage=2057&rft.epage=2066&rft.title=Genetics in Medicine&rft.atitle=Ethical challenges for a new generation of early-phase pediatric gene therapy trials&rft_id=info:doi/10.1038/s41436-021-01245-3,Article | Ethical challenges for a new generation of early-phase pediatric gene therapy trials | IYER 2021 | Published in Journal Genetics in Medicine Volume 23 Issue 11 Page 2057 2066. | ISSN:1098-3600,3,0,0,3,3,6,50,50,0,0,0,0,0
