Key,GetIt citation,# links: common,# links: Ariadne only,# links: GetIt only,# links: total,% total: Ariadne,% total: GetIt,ARIADNE: HTTP_400_BAD_REQUEST,GETIT: PAGE_NOT_FOUND,GETIT: PROBABLE_HTTP_400_BAD_REQUEST,GETIT: SORRY_SOMETHING_HAS_GONE_WRONG
getit.library.nyu.edu/resolve?=&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.spage=19&rft.epage=36&rft.title=Thinking+with+Borges&rft.aulast=Gingerich&rft.date=2009&rft.artnum=1042&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&rft.aufirst=Stephen&url_ver=Z39.88-2004&sid=bepress:DigitalCommons&rft.atitle=Nothing+and+everything+:+theoretical+and+practical+nihilism+in+Borges&rft.genre=article,"Article | Nothing and everything theoretical and practical nihilism in Borges | Gingerich Stephen 2009 | Published in Journal Thinking with Borges Page 19 36. | ",0,0,0,0,n/a,n/a,0,0,0,0
getit.library.nyu.edu/resolve?=&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rft.spage=81&rft.epage=90&rft.title=Methods+in+Molecular+Biology&rft.aulast=Kokona&rft.volume=2039&rft.date=2019&rft.artnum=1602&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&rft.aufirst=Bashkim&url_ver=Z39.88-2004&sid=bepress:DigitalCommons&rft.atitle=Aggregation+Profiling+of+C9orf72+Dipeptide+Repeat+Proteins+Transgenically+Expressed+in+Drosophila+melanogaster+Using+an+Analytical+Ultracentrifuge+Equipped+with+Fluorescence+Detection&rft.genre=article,Article | Aggregation Profiling of C9orf72 Dipeptide Repeat Proteins Transgenically Expressed in Drosophila melanogaster Using an Analytical Ultracentrifuge Equipped with Fluorescence Detection | Kokona Bashkim 2019 | Published in Journal Methods in Molecular Biology Volume 2039 Page 81 90. | ISSN:1064-3745,1,0,0,1,100,100,0,0,0,0
getit.library.nyu.edu/resolve??=&genre=book&title=The Sino-Tibetan Languages&date=2003&aulast=YUE(-HASHIMOTO)&aufirst=Anne O.,"Book | The Sino-Tibetan Languages | YUE HASHIMOTO Anne O 2003 |  | ",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=A Practical Guide for Policy Analysis: The Eightfold Path to More Effective Problem Solving, 6th Edition&jtitle=ProtoView&title=ProtoView&issn=2372-3424&volume=2020&issue=3&date=2020-01-22",Article | A Practical Guide for Policy Analysis The Eightfold Path to More Effective Problem Solving 6th Edition | 2020 Jan 22 | Published in Journal ProtoView Volume 2020 Issue 3. | ISSN:2372-3424,0,0,3,3,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=Fresh dressed : the evolution of Rap fashion&jtitle=Evolution of Rap fashion&title=Evolution of Rap fashion&date=2015&aulast=Jenkins&aufirst=Sacha&au=Jenkins,Sacha","Article | Fresh dressed the evolution of Rap fashion | Jenkins,Sacha 2015 | Published in Journal Evolution of Rap fashion. | ",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=Impact of Exercise on Depression and Anxiety in Adolescents with Complex Trauma Living in Residential Treatment Centers&jtitle=ProQuest Dissertations and Theses&title=ProQuest Dissertations and Theses&issn=9798-790631085&date=2022&aulast=Snodgrass&aufirst=Candace&au=Snodgrass,Candace","Article | Impact of Exercise on Depression and Anxiety in Adolescents with Complex Trauma Living in Residential Treatment Centers | Snodgrass,Candace 2022 | Published in Journal ProQuest Dissertations and Theses. | ISSN:9798-790631085",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=Melanin messages: Black college women\u2019s experiences and reflections on navigating colorism&jtitle=Journal of Diversity in Higher Education&title=Journal of Diversity in Higher Education&issn=1938-8934(ELECTRONIC),19388926(PRINT)&date=2021&aulast=Brown&aufirst=Lamesha&au=Brown,Lamesha C.&genre=article","Article | Melanin messages Black college women\u2019s experiences and reflections on navigating colorism | Brown,Lamesha C 2021 | Published in Journal Journal of Diversity in Higher Education. | ISSN:1938-8926",0,0,1,1,0,100,1,0,0,0
getit.library.nyu.edu/resolve??charset=utf-8&atitle=Migrant Windhoek: rural-urban migration and food security in Namibia&genre=article,Article | Migrant Windhoek rural-urban migration and food security in Namibia |  |  | undefined,0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=Network&date=1976-11-27&aulast=Lumet&aufirst=Sidney&au=Lumet, Sidney","Article | Network | Lumet Sidney 1976 Nov 27 |  | ",0,0,0,0,n/a,n/a,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=Perceived family functioning and friendship quality: Cross-sectional associations with physical activity and sedentary behaviours&jtitle=The International Journal of Behavioral Nutrition and Physical Activity&title=The International Journal of Behavioral Nutrition and Physical Activity&issn=1479-5868(ELECTRONIC)&volume=12&date=2015&aulast=Atkin&aufirst=Andrew&au=Atkin,Andrew J.&genre=article","Article | Perceived family functioning and friendship quality Cross-sectional associations with physical activity and sedentary behaviours | Atkin,Andrew J 2015 | Published in Journal The International Journal of Behavioral Nutrition and Physical Activity Volume 12. | ISSN:1479-5868(ELECTRONIC)",0,0,9,9,0,100,1,0,0,0
"getit.library.nyu.edu/resolve??charset=utf-8&atitle=The impact of advertising on social processes&jtitle=Mind & Society=&title=Mind & Society=&issn=1860-1839(ELECTRONIC),15937879(PRINT)&date=2021&aulast=Pavlovskaya&aufirst=Olga&au=Pavlovskaya,Olga&genre=article","Article | The impact of advertising on social processes | Pavlovskaya,Olga 2021 | Published in Journal Mind  | ISSN:1555-7308",0,0,5,5,0,100,1,0,0,0
